新华社 ni S-Ni
贵阳 ns S-Ns
１２月 nt O
２６日 nt O
电 n O
贵州省 ns B-Ns
罗甸县 ns E-Ns
２６日 nt O
２０时 nt O
０５分 nt O
发生 v O
４．０ m O
级 q O
地震 n O
截至 v O
２２时 nt O
记者 n O
发稿 v O
时 n O
止 v O
罗甸县 ns S-Ns
尚 d O
无 v O
接到 v O
人员 n O
伤亡 v O
和 c O
房屋 n O
倒塌 v O
的 u O
报告 n O
全县 n O
交通 n O
通讯 n O
正常 a O
罗甸 ns B-Ni
县委 n E-Ni
书记 n O
沙先贵 nh S-Nh
通过 p O
电话 n O
告诉 v O
记者 n O
20时 nt O
左右 nd O
发生 v O
地震 n O
时 n O
县城 n O
震感 n O
比较 d O
明显 a O
地震 n O
发生 v O
后 nd O
罗甸 ns B-Ni
县委 n E-Ni
县政府 n O
召开 v O
全县 n O
应急 v O
会议 n O
启动 v O
地震 n O
应急 v O
预案 n O
安排 v O
公安 n O
武警 n O
消防 b O
警力 n O
在 p O
街道 n O
巡逻 v O
同时 d O
与 p O
全县 n O
２６ m O
个 q O
乡镇 n O
电话 n O
联系 v O
要求 v O
各地 r O
摸查 v O
受灾 v O
情况 n O
全县 n O
所有 b O
单位 n O
２６日 nt O
晚 nt O
安排 v O
人员 n O
２４ m O
小时 n O
值班 v O
并 c O
通过 p O
县 n O
电视台 n O
的 u O
滚动 v O
字幕 n O
将 p O
地震 n O
消息 n O
向 p O
全县 n O
如实 d O
通报 v O
公布 v O
相关 v O
应急 v O
值班 v O
电话 n O
沙先贵 nh S-Nh
说 v O
经 p O
与 p O
２６ m O
个 q O
乡镇 n O
电话 n O
联系 v O
目前 nt O
尚未 d O
接到 v O
有 v O
人员 n O
伤亡 v O
和 c O
房屋 n O
倒塌 v O
的 u O
情况 n O
报告 v O
贵州省 ns B-Ni
地震局 n E-Ni
局长 n O
陈本金 nh S-Nh
说 v O
此次 r O
地震 n O
震中 n O
位于 v O
罗甸县 ns B-Ns
沫阳镇 ns E-Ns
附近 nd O
贵州省 ns B-Ni
地震局 n E-Ni
已 d O
派 v O
人 n O
连夜 d O
赶赴 v O
罗甸 ns B-Ns
罗甸县 ns E-Ns
位于 v O
贵州 ns S-Ns
南部 nd O
是 v O
一个 m O
以 p O
布依族 nz O
苗族 nz O
为主 v O
的 u O
少数民族 n O
县 n O
南部 nd O
与 p O
广西 ns S-Ns
交界 v O
距 p O
贵阳 ns S-Ns
约 d O
１６６ m O
公里 q O
