中新社 ni S-Ni
杭州 ns S-Ns
十二月 nt O
四日 nt O
电 n O
杨蓥晖 nh B-Nh
徐晓君 nh E-Nh
今日 nt O
上午 nt O
八时 nt O
三十分 nt O
许受 v O
大雾 n O
天气 n O
影响 v O
浙江 ns S-Ns
杭金衢 j O
高速公路 n O
诸暨段 r O
发生 v O
一 m O
起 q O
重大 a O
交通 n O
事故 n O
三十三 m O
辆 q O
车 n O
连环 b O
相撞 v O
事故 n O
造成 v O
一 m O
人 n O
死亡 v O
一 m O
人 n O
重伤 n O
六 m O
人 n O
轻伤 n O
一千 m O
余 m O
辆 q O
过往 v O
车辆 n O
滞留 v O
事发 v O
后 nd O
第一 m O
时间 n O
赶到 v O
的 u O
高速 b O
交警 j O
消防 b O
官兵 n O
和 c O
医务 b O
人员 n O
及时 a O
将 d O
被 p O
因 p O
人员 n O
救 v O
出 v O
并 c O
送 v O
往 p O
医院 n O
抢救 v O
一 m O
现场 nl O
救援 v O
人员 n O
称 v O
高速公路 n O
上面 nd O
近 a O
五百 m O
余 m O
辆 q O
汽车 n O
排 v O
成 v O
了 u O
长 a O
龙 n O
准备 v O
上 v O
高速 b O
的 u O
几百 m O
辆 q O
汽车 n O
也 d O
被迫 d O
滞留 v O
交通 n O
一时 nt O
瘫痪 v O
在 p O
事故 n O
地点 n O
的 u O
路面 n O
上 nd O
到处 d O
都 d O
是 v O
撞碎 v O
的 u O
玻璃 n O
碎片 n O
和 c O
汽车 n O
零部件 n O
目前 nt O
相关 v O
部门 n O
对 p O
事故 n O
原因 n O
正在 d O
进一步 d O
调查 v O
处理 v O
中 nd O
