： wp O
7月 nt O
23号 nt O
凌晨 nt O
5点 nt O
30 m O
多 m O
分 q O
华县 ns B-Ns
大明镇 ns I-Ns
高楼村 ns E-Ns
发生 v O
一 m O
起 q O
疑似 v O
食品 n O
中毒 v O
事件 n O
截止 v O
昨晚 nt O
10时 nt O
有 v O
20 m O
多 m O
人 n O
出现 v O
不同 a O
程度 n O
的 u O
腹泻 v O
症状 n O
已 d O
分别 d O
在 p O
县 n O
人民 n O
医院 n O
中医 n O
医院 n O
接受 v O
治疗 v O
另 r O
有 v O
30 m O
多 m O
人 n O
经 p O
检查 v O
无 v O
明显 a O
症状 n O
7月 nt O
22 m O
号 q O
华县 ns B-Ns
大明镇 ns I-Ns
高楼村 ns E-Ns
四 m O
组 q O
村民 n O
高 a O
和 c O
群 n O
为 p O
其 r O
父亲 n O
办理 v O
丧事 n O
举办 v O
筵席 n O
23 m O
号 q O
凌晨 nt O
5点 nt O
多 m O
参加 v O
筵席 n O
的 u O
部分 m O
群众 n O
先后 d O
出现 v O
腹泻 v O
症状 n O
事件 n O
发生 v O
后 nd O
华县 ns S-Ns
县委 n O
县政府 n O
高度 d O
重视 v O
立即 d O
启动 v O
突发 v O
食品 n O
安全 a O
事故 n O
救援 v O
应急 v O
预案 n O
县委 n O
书记 n O
薛东江 nh S-Nh
指示 v O
有关 v O
部门 n O
全力 d O
开展 v O
救治 v O
工作 v O
正 d O
在 p O
南京 ns S-Ns
参加 v O
招商 v O
活动 v O
的 u O
杨森明 nh S-Nh
县长 n O
得知 v O
情况 n O
后 nd O
电话 n O
要求 v O
尽快 d O
开展 v O
救治 v O
工作 v O
确保 v O
群众 n O
生命 n O
安全 a O
常务 b O
副 b O
县长 n O
简录民 nh S-Nh
第一 m O
时间 n O
赶赴 v O
县 n O
医院 n O
指导 v O
救治 v O
工作 v O
现场 nl O
成立 v O
了 u O
医疗 n O
救护 v O
事件 n O
调查 v O
安全 a O
保卫 v O
后勤 n O
保障 v O
等 u O
工作组 n O
迅速 a O
开展 v O
工作 v O
并 c O
